HP_0000001	false
HP_0010569	HP_0003107
HP_0011297	HP_0002813
HP_0011988	HP_0011986
HP_0011850	HP_0000197
HP_0100168	HP_0005930
HP_0000656	HP_0000492
HP_0001552	HP_0100625
HP_0008785	HP_0009105
HP_0007687	HP_0000508
HP_0010509	HP_0008363
HP_0005934	HP_0008777
HP_0011353	HP_0011004
HP_0008962	HP_0001430
HP_0003138	HP_0002157
HP_0001270	HP_0001263
HP_0010746	HP_0010173
HP_0004748	HP_0000090
HP_0011754	HP_0011752
HP_0009338	HP_0009332
HP_0009338	HP_0009413
HP_0009338	HP_0010249
HP_0011041	HP_0003319
HP_0011041	HP_0008518
HP_0000139	HP_0000130
HP_0000139	HP_0100823
HP_0000322	HP_0000288
HP_0010661	HP_0010951
HP_0003445	HP_0003457
HP_0010629	HP_0003063
HP_0010629	HP_0003103
HP_0005437	HP_0002719
HP_0001161	HP_0009997
HP_0001161	HP_0010442
HP_0010398	HP_0010350
HP_0010398	HP_0010358
HP_0002165	HP_0001597
HP_0010858	HP_0011182
HP_0008872	HP_0011968
HP_0011602	HP_0011600
HP_0008291	HP_0002893
HP_0007035	HP_0002084
HP_0010561	HP_0000772
HP_0012077	HP_0012075
HP_0009561	HP_0009542
HP_0009561	HP_0009550
HP_0009561	HP_0009839
HP_0008459	HP_0011041
HP_0012027	HP_0001600
HP_0007623	HP_0001000
HP_0012266	HP_0005135
HP_0001950	HP_0001948
HP_0100936	HP_0100927
HP_0100936	HP_0100947
HP_0005121	HP_0004586
HP_0003548	HP_0003800
HP_0100274	HP_0000632
HP_0100274	HP_0001291
HP_0009140	HP_0001760
HP_0009140	HP_0009138
HP_0010187	HP_0010175
HP_0010187	HP_0010182
HP_0005198	HP_0001387
HP_0011666	HP_0005301
HP_0007798	HP_0000493
HP_0009785	HP_0009784
HP_0009785	HP_0100854
HP_0011413	HP_0001787
HP_0004981	HP_0004035
HP_0007271	HP_0002436
HP_0000221	HP_0000157
HP_0001961	HP_0002564
HP_0006366	HP_0005750
HP_0100260	HP_0010442
HP_0100710	HP_0006919
HP_0003771	HP_0006479
HP_0008205	HP_0005978
HP_0005149	HP_0004382
HP_0007179	HP_0007772
HP_0010852	HP_0002353
HP_0006277	HP_0012094
HP_0002152	HP_0010876
HP_0002089	HP_0006703
HP_0011339	HP_0000177
HP_0000187	HP_0006477
HP_0010410	HP_0010353
HP_0010410	HP_0010357
HP_0009685	HP_0009662
HP_0009685	HP_0009696
HP_0009685	HP_0010256
HP_0003140	HP_0010872
HP_0004013	HP_0004012
HP_0002758	HP_0001369
HP_0100851	HP_0000708
HP_0004496	HP_0000453
HP_0011943	HP_0004369
HP_0011943	HP_0011866
HP_0010779	HP_0002644
HP_0003010	HP_0001872
HP_0004863	HP_0001878
HP_0002131	HP_0001251
HP_0007917	HP_0000541
HP_0001903	HP_0001877
HP_0010405	HP_0010348
HP_0010405	HP_0010357
HP_0011166	HP_0011153
HP_0003165	HP_0003117
HP_0003165	HP_0100530
HP_0002566	HP_0002242
HP_0008755	HP_0002779
HP_0000834	HP_0000818
HP_0001922	HP_0004332
HP_0006801	HP_0001347
HP_0100583	HP_0000481
HP_0000535	HP_0100840
HP_0000288	HP_0000153
HP_0000420	HP_0000419
HP_0003077	HP_0003119
HP_0004333	HP_0004311
HP_0100157	HP_0100055
HP_0100157	HP_0100093
HP_0004238	HP_0001495
HP_0002804	HP_0002803
HP_0009635	HP_0009618
HP_0009635	HP_0009656
HP_0009635	HP_0009849
HP_0001104	HP_0008059
HP_0004343	HP_0010969
